,Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Views,Likes,Comments,Licensed,Stream,most_playedon,duration_ms,explicit,year,popularity,key,genre
0,Gorillaz,Feel Good Inc.,Demon Days,album,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,3.7106666666666666,693555221,6220896,169907,True,1040234854,Spotify,222640,False,2005,82,6,hip hop
1,Gorillaz,Clint Eastwood,Gorillaz,album,0.663,0.694,-8.627,0.171,0.0253,0.0,0.0698,0.525,167.953,5.682,618480958,6197318,155930,True,617259738,Youtube,340920,True,2001,74,10,hip hop
2,Gorillaz,DARE,Demon Days,album,0.76,0.891,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264,4.083333333333333,259021161,1844658,72008,True,323850327,Spotify,244999,False,2005,73,11,hip hop
3,Red Hot Chili Peppers,Can't Stop,By the Way (Deluxe Edition),album,0.618,0.938,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455,4.483333333333333,336635759,1740224,32573,True,866464951,Spotify,269000,False,2002,80,9,rock
4,Red Hot Chili Peppers,Otherside,Californication (Deluxe Edition),album,0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4.256216666666667,673528656,3140356,60091,True,732774515,Spotify,255373,False,1999,78,0,rock
5,Red Hot Chili Peppers,Snow (Hey Oh),Stadium Arcadium,album,0.427,0.9,-3.674,0.0499,0.116,1.75e-05,0.119,0.599,104.655,5.5777833333333335,320871237,1272266,37004,True,860722316,Spotify,334666,False,2006,79,11,rock
6,Red Hot Chili Peppers,Dani California,Stadium Arcadium,album,0.556,0.913,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,4.7026666666666666,324228662,1456622,49461,True,550067391,Spotify,282160,False,2006,76,0,rock
7,Red Hot Chili Peppers,By the Way,By the Way (Deluxe Edition),album,0.451,0.97,-4.938,0.107,0.0264,0.00355,0.102,0.198,122.444,3.61555,179005296,784717,20084,True,367485508,Spotify,216933,False,2002,73,0,rock
8,50 Cent,In Da Club,Get Rich Or Die Tryin',album,0.902,0.72,-2.776,0.347,0.26,0.0,0.0749,0.805,90.059,3.22445,1682616458,10481678,296745,True,1041736808,Youtube,193466,True,2003,81,6,"hip hop, pop"
9,50 Cent,Candy Shop,The Massacre,album,0.614,0.574,-7.961,0.466,0.0253,3.2e-05,0.38,0.755,125.173,3.485116666666667,838974650,5014527,113251,True,701248893,Youtube,209106,True,2005,79,11,"hip hop, pop"
10,50 Cent,Just A Lil Bit,The Massacre,album,0.489,0.692,-6.672,0.41,0.0322,0.00608,0.315,0.527,96.946,3.961783333333333,476133463,2523312,42075,True,395155110,Youtube,237706,True,2005,76,1,"hip hop, pop"
11,50 Cent,P.I.M.P.,Get Rich Or Die Tryin',album,0.7,0.758,-3.012,0.342,0.0444,1.3e-05,0.0401,0.889,78.693,4.157783333333334,572659065,3334710,60552,True,541728561,Youtube,249480,True,2003,76,10,"hip hop, pop"
12,50 Cent,Disco Inferno,The Massacre,album,0.925,0.659,-4.763,0.231,0.206,7.88e-05,0.279,0.71,97.018,3.57045,39825951,382791,12038,True,202477187,Spotify,214226,True,2005,72,3,"hip hop, pop"
13,50 Cent,21 Questions,Get Rich Or Die Tryin',album,0.576,0.807,-3.908,0.317,0.353,0.000363,0.0512,0.908,90.012,3.74045,503248572,2759199,54805,True,446003044,Youtube,224440,True,2003,72,6,"hip hop, pop"
14,Coldplay,Viva La Vida,Viva La Vida or Death and All His Friends,album,0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4.03955,789581468,4370461,261790,True,1325575712,Spotify,242373,False,2008,80,5,"rock, pop"
15,Coldplay,Something Just Like This,Memories...Do Not Open,album,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4.1193333333333335,2118018686,10282499,270444,True,2030825694,Youtube,247160,False,2017,83,11,"pop, Dance/Electronic"
16,The Chainsmokers,Something Just Like This,Memories...Do Not Open,album,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4.1193333333333335,2118024518,10282557,270446,True,2030825694,Youtube,247160,False,2017,83,11,"pop, Dance/Electronic"
17,Coldplay,A Sky Full of Stars,Ghost Stories,album,0.545,0.675,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,4.46445,786404613,3741300,79974,True,1021782403,Spotify,267866,False,2014,80,6,"rock, pop"
18,Coldplay,Paradise,Mylo Xyloto,album,0.449,0.585,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,4.645316666666667,1665814269,8497224,343020,True,927288329,Youtube,278719,False,2011,82,5,"rock, pop"
19,Coldplay,Paradise,Mylo Xyloto,album,0.449,0.585,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,4.645316666666667,1665814269,8497224,343020,True,927288329,Youtube,278719,False,2011,82,5,"rock, pop"
20,Sade,Paradise,The Best of Sade,compilation,0.738,0.792,-7.873,0.0378,0.309,0.39,0.0679,0.968,99.817,3.62445,27710627,143842,4873,True,43384851,Spotify,278719,False,2011,82,5,"rock, pop"
21,Sade,Paradise,The Best of Sade,compilation,0.738,0.792,-7.873,0.0378,0.309,0.39,0.0679,0.968,99.817,3.62445,27710627,143842,4873,True,43384851,Spotify,278719,False,2011,82,5,"rock, pop"
22,George Ezra,Paradise,Staying at Tamara's,album,0.642,0.881,-3.537,0.0393,0.209,0.0,0.21,0.913,138.03,3.70075,104385181,473813,13926,True,298395323,Spotify,278719,False,2011,82,5,"rock, pop"
23,George Ezra,Paradise,Staying at Tamara's,album,0.642,0.881,-3.537,0.0393,0.209,0.0,0.21,0.913,138.03,3.70075,104385181,473813,13926,True,298395323,Spotify,278719,False,2011,82,5,"rock, pop"
24,Bazzi,Paradise,Soul Searching,album,0.844,0.644,-6.273,0.0479,0.0828,0.0,0.113,0.591,122.061,2.8173,34823748,457464,6463,True,515623742,Spotify,278719,False,2011,82,5,"rock, pop"
25,Bazzi,Paradise,Soul Searching,album,0.844,0.644,-6.273,0.0479,0.0828,0.0,0.113,0.591,122.061,2.8173,34823748,457464,6463,True,515623742,Spotify,278719,False,2011,82,5,"rock, pop"
26,Oscar Maydon,Paradise,GXLE 3,album,0.692,0.585,-9.181,0.0273,0.159,0.0,0.169,0.848,104.959,3.433333333333333,1051022,15990,333,False,2777926,Spotify,278719,False,2011,82,5,"rock, pop"
27,Oscar Maydon,Paradise,GXLE 3,album,0.692,0.585,-9.181,0.0273,0.159,0.0,0.169,0.848,104.959,3.433333333333333,1051022,15990,333,False,2777926,Spotify,278719,False,2011,82,5,"rock, pop"
28,Coldplay,Hymn for the Weekend,A Head Full of Dreams,album,0.491,0.693,-6.487,0.0377,0.211,6.92e-06,0.325,0.412,90.027,4.30445,1828242112,13515772,377666,True,1049654852,Youtube,258266,False,2015,82,0,"rock, pop"
29,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],single,0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,4.140216666666666,32310867,956073,19646,False,844698895,Spotify,248413,False,2013,83,6,"hip hop, Dance/Electronic"
30,Daft Punk,One More Time,Discovery,album,0.613,0.697,-8.618,0.133,0.0194,0.0,0.332,0.476,122.746,5.339283333333333,432177586,2707992,110189,True,471747761,Spotify,320357,False,2001,76,2,"hip hop, Dance/Electronic"
31,Armin van Buuren,One More Time,"Feel Again, Pt. 2",album,0.579,0.764,-5.55,0.0512,0.0995,0.00174,0.273,0.289,126.162,2.46825,1883499,43730,1267,True,18025225,Spotify,320357,False,2001,76,2,"hip hop, Dance/Electronic"
32,Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),Random Access Memories,album,0.832,0.659,-7.828,0.057,0.0839,0.00114,0.0753,0.674,100.163,5.898216666666666,195983803,1115598,37436,True,274711166,Spotify,353893,False,2013,69,10,"hip hop, Dance/Electronic"
33,Linkin Park,In the End,Hybrid Theory (Bonus Edition),album,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,3.6146666666666665,1487186392,10183387,409471,True,1444841705,Youtube,216880,False,2000,83,3,"rock, metal"
34,Linkin Park,In the End,Hybrid Theory (Bonus Edition),album,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,3.6146666666666665,1487186392,10183387,409471,True,1444841705,Youtube,216880,False,2000,83,3,"rock, metal"
35,Linkin Park,Numb,Meteora,album,0.496,0.863,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,3.0931166666666665,1928733776,12341722,550921,True,1195213410,Youtube,185586,False,2003,81,9,"rock, metal"
36,Khalid,Numb,Numb,single,0.912,0.774,-4.673,0.0455,0.121,0.0127,0.101,0.632,119.966,2.59315,25212794,418647,7041,True,203066841,Spotify,185586,False,2003,81,9,"rock, metal"
37,Men I Trust,Numb,Numb,single,0.783,0.303,-14.393,0.0527,0.811,0.945,0.109,0.65,138.816,3.655666666666667,11702391,630534,7043,True,46508509,Spotify,185586,False,2003,81,9,"rock, metal"
38,Marshmello,Numb,Numb,single,0.912,0.774,-4.673,0.0455,0.121,0.0127,0.101,0.632,119.966,2.59315,25213699,418664,7041,True,203066841,Spotify,185586,False,2003,81,9,"rock, metal"
39,NEFFEX,Numb,Numb,single,0.752,0.539,-9.168,0.219,0.417,0.0,0.0976,0.638,140.089,2.4,7718608,141386,2992,True,45267425,Spotify,185586,False,2003,81,9,"rock, metal"
40,Linkin Park,What I've Done,Minutes to Midnight,album,0.623,0.93,-5.285,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,3.426883333333333,587927093,3370635,148741,True,589294152,Spotify,205613,False,2007,77,5,"rock, metal"
41,Linkin Park,Numb / Encore,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,single,0.687,0.793,-4.254,0.166,0.0603,0.0,0.582,0.751,107.045,3.4288833333333333,44436981,226771,9260,True,778880225,Spotify,205733,True,2004,76,2,hip hop
42,JAY-Z,Numb / Encore,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,single,0.687,0.793,-4.254,0.166,0.0603,0.0,0.582,0.751,107.045,3.4288833333333333,47752493,219401,4024,False,778880225,Spotify,205733,True,2004,76,2,hip hop
43,Linkin Park,Faint,Meteora,album,0.554,0.978,-3.554,0.131,0.111,0.0,0.0731,0.594,135.095,2.71,378323695,2061834,65731,True,413355749,Spotify,162600,False,2003,72,4,"rock, metal"
